,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),Total time (s),RUL
46,48,2208.56,825.594,4.045,3.382,5030.734,6007.22,9098.56,11312.19,1065
47,49,2206.88,823.219,4.045,3.382,5027.281,6000.25,9091.78,11303.69,1064
48,50,2203.19,820.812,4.045,3.383,5020.375,5993.38,9083.59,11293.12,1063
49,51,2202.53,820.782,4.045,3.384,5013.375,5986.38,9089.47,11297.13,1062
50,52,2200.34,816,4.044,3.386,5006.344,5979.34,9089.41,11294.91,1061
51,53,2198.19,816,4.044,3.385,4999.219,5972.22,9067.53,11270.81,1060
52,54,2197,813.593,4.044,3.387,4992.25,5965.25,9074.62,11276.81,1059
53,55,2195.94,813.593,4.044,3.387,4988.8595,5965.38,9079.66,11280.69,1058
54,56,2194.12,811.219,4.044,3.387,4985.344,5958.34,9049.97,11249.28,1057
55,57,2192.56,813.594,4.044,3.388,4978.281,5958.28,9049.44,11246.97,1056
56,58,2190.75,811.218,4.044,3.387,4978.313,5951.31,9029.53,11225.34,1055
57,59,2189.5,808.813,4.044,3.388,4971.375,5944.38,9049.91,11244.5,1054
58,60,2188.19,806.437,4.044,3.389,4964.313,5937.31,9059.31,11252.5,1053
59,61,2186.25,806.438,4.043,3.391,4960.8435,5937.38,9027.75,11219.13,1052
60,62,2185.56,806.375,4.043,3.39,4957.375,5930.38,9015.12,11205.75,1051
61,63,2185.12,806.438,4.043,3.39,4957.375,5930.38,9051.06,11241.25,1050
62,64,2179.06,789.562,4.022,3.625,4921.375,5894,9069.94,54453.06,1049
63,65,206007.26,-64192.716,4.271,3.166,72809.982,84474.65,84474.65,220557.92,1048
64,66,2182.56,793.2,4.004,3.381,5213.92,6200.32,9459.46,11666.72,1047
65,67,2182.62,798,4.007,3.395,4969.152,5912.35,9114.85,11312.1,1046
66,68,2180.13,797.6,4.007,3.394,4969.1784,5912.35,9093.92,11288.67,1045
67,69,2177.34,795,4.008,3.394,4961.92,5912.32,9058.18,11250.18,1044
68,70,2175.17,795,4.007,3.395,4954.783,5912.38,9064.41,11254.27,1043
69,71,2173.44,793,4.008,3.398,4947.551,5912.35,9080.74,11268.83,1042
70,72,2170.56,789.6,4.008,3.397,4940.32,5912.32,9060.73,11245.95,1041
71,73,2168.26,789.6,4.008,3.399,4933.121,5876.32,9048.26,11231.17,1040
72,74,2165.54,788,4.008,3.399,4928.32,5876.32,9027.49,11207.68,1039
73,75,2163.77,786,4.008,3.401,4918.791,5876.39,9027.52,11205.92,1038
74,76,2162.18,783.6,4.008,3.401,4916.321,5876.32,9008.32,11188.22,1037
75,77,2160.17,786,4.008,3.401,4911.551,5876.35,9000.64,11175.43,1036
76,78,2158.66,784,4.008,3.401,4910.359,5876.36,9023.48,11196.77,1035
77,79,2155.94,780,4.007,3.402,4904.328,5876.33,8968.09,11138.69,1034
78,80,2154.69,782.4,4.008,3.402,4897.159,5840.36,8974.28,11143.57,1033
79,81,2152.42,782.4,4.008,3.403,4889.913,5840.31,8965.95,11133.07,1032
80,82,2151.42,782.4,4.008,3.405,4882.728,5840.33,8962.08,11128.34,1031
81,83,2149.92,778.4,4.008,3.403,4880.343,5840.34,8958.81,11123.36,1030
82,84,2148.48,778.4,4.008,3.404,4875.513,5840.31,8930.36,11093.52,1029
83,85,2147.39,776.4,4.008,3.404,4868.328,5840.33,8962.02,11124.12,1028
84,86,2145.83,777,4.008,3.405,4868.266,5840.27,8942.92,11103.55,1027
85,87,2144.58,775,4.008,3.404,4862.312,5804.31,8963.16,11122.44,1026
86,88,2142.5,772.8,4.008,3.405,4856.328,5804.33,8947.59,11104.76,1025
87,89,2147.06,763.218,4.018,3.653,4816.312,5788.97,9007.12,54358.33,1024
88,90,2145.16,766,4.003,3.731,4808.344,5768.34,9026.06,11196.53,1023
89,91,2147.28,774,4.006,3.41,4853.944,5804.34,8977.31,11139.34,1022
90,92,2145.28,772.8,4.007,3.406,4861.144,5804.34,8974.09,11134.07,1021
91,93,2143.12,774,4.008,3.407,4853.943,5804.34,8977.41,11135.21,1020
92,94,2140.53,770,4.008,3.407,4846.744,5804.34,8960.47,11115.63,1019
93,95,2138.88,770,4.008,3.407,4839.513,5804.31,8950.19,11103.72,1018
94,96,2137.31,768,4.007,3.407,4838.375,5804.38,8971.72,11123.65,1017
95,97,2135.19,769.2,4.007,3.408,4832.375,5804.38,8927.5,11077.35,1016
96,98,2133.34,769,4.007,3.408,4825.144,5768.34,8944.38,11092.41,1015
97,99,2130.69,765.6,4.007,3.408,4817.944,5768.34,8896.53,11041.87,1014
98,100,2128.56,768,4.007,3.409,4810.744,5768.34,8901.75,11044.97,1013
99,101,2126.97,762,4.006,3.41,4803.513,5768.31,8899.03,11040.69,1012
100,102,2125.78,762,4.006,3.411,4796.313,5768.31,8913.22,11053.59,1011
101,103,2124.41,764.4,4.006,3.411,4796.375,5768.38,8916.5,11055.66,1010
102,104,2122.03,762.4,4.005,3.411,4789.1502,5732.34,8875.09,11011.81,1009
103,105,2112,759,4.005,3.411,4781.943,5732.34,8892.59,11027.65,1008
104,106,2118.81,760.8,4.006,3.413,4774.744,5732.34,8892.44,11025.88,1007
105,107,2117.62,756.8,4.006,3.412,4767.513,5732.31,8905.44,11037.72,1006
106,108,2115.12,757.2,4.005,3.414,4766.375,5732.38,8854.25,10984.03,1005
107,109,2114.31,755.2,4.006,3.414,4760.375,5732.38,8898.38,11027.31,1004
108,110,2112.31,753,4.005,3.414,4753.175,5696.38,8870.56,10997.44,1003
109,111,2111.19,753,4.005,3.414,4748.375,5696.38,8860.06,10986,1002
110,112,2100.94,748.8,3.991,3.415,4745.975,6147.88,8766.5,10882.06,1001
111,113,2109.81,739.187,4.014,3.674,4690.25,5656,8884.06,54197.82,1000
112,115,2124.61,751.2,3.998,3.397,5066.256,6056.26,9425.95,11575.36,998
113,116,2124.16,752,3.999,3.415,4778.321,5732.32,8951.84,11090.65,997
114,117,2121.79,751.998,4,3.415,4781.824,5732.22,8950.82,11087.23,996
115,118,2119.97,749.6,4.001,3.417,4772.352,5732.35,8959.65,11094.28,995
116,119,2117.7,747.6,4.001,3.417,4767.552,5732.35,8965.47,11097.85,994
117,120,2114.24,747.6,4.001,3.419,4760.352,5696.35,8932.74,11061.7,993
118,121,2111.11,744,4.001,3.419,4753.152,5696.35,8918.18,11043.9,992
119,122,2107.84,744,4.001,3.421,4742.32,5696.32,8919.01,11041.54,991
120,123,2105.28,740,4.001,3.421,4731.52,5696.32,8897.66,11017.6,990
121,124,2102.91,738,4.001,3.422,4724.352,5660.35,8913.22,11030.79,989
122,125,2100.16,740.4,4.001,3.423,4717.121,5660.32,8882.59,10997.34,988
123,126,2098.37,738.4,4.001,3.424,4709.92,5660.32,8886.08,10999.2,987
124,127,2095.59,734.4,4.001,3.425,4702.743,5660.34,8857.02,10967.17,986
125,128,2093.19,735,4.001,3.424,4695.59,5660.39,8846.05,10953.89,985
126,129,2091.2,736.8,4.001,3.425,4688.328,5624.33,8845.25,10950.97,984
127,130,2089,732.8,4.001,3.426,4681.05,5624.25,8839.94,10943.62,983
128,131,2086.91,732,4.001,3.427,4673.959,5624.36,8834.91,10936.47,982
129,132,2084.55,731.2,4.001,3.426,4666.713,5624.31,8807.3,10906.53,981
130,133,2083.19,731.2,4.001,3.427,4659.512,5624.31,8812.31,10910.21,980
131,134,2081.8,727.2,4.001,3.428,4652.312,5588.31,8816.34,10912.81,979
132,135,2079.97,727.2,4.001,3.427,4652.281,5588.28,8807.45,10902.08,978
133,136,2078.72,727.2,4.001,3.428,4645.191,5588.39,8820.2,10913.56,977
134,137,2076.91,729.6,4.001,3.427,4640.359,5588.36,8797.52,10889,976
135,138,2078.66,717.593,4.01,3.68,4592.375,5558,8897.53,54180.28,975
136,139,2077.22,717.6,3.996,3.76,4574.344,5516.34,8858.62,10961.12,974
137,140,2080.69,725.6,3.999,3.433,4634.344,5588.34,8807.22,10902.6,973
138,141,2079.28,725.6,4,3.429,4645.144,5588.34,8828.72,10922.66,972
139,142,2076.56,723.6,4,3.429,4637.913,5588.31,8812.88,10904.06,971
140,143,2074.47,726,4,3.429,4630.743,5588.34,8809.44,10898.56,970
141,144,2071.62,720,4,3.431,4623.606,5588.41,8778,10864.19,969
142,145,2070.34,722.4062,3.999,3.43,4616.312,5552.31,8808.19,10893.09,968
143,146,2069.03,722.4,4,3.43,4609.144,5552.34,8804.88,10888.53,967
144,147,2067.62,722.3938,4,3.431,4604.313,5552.31,8805.75,10888.1,966
145,148,2065.16,720.8,3.999,3.43,4601.913,5552.31,8784.09,10863.87,965
146,149,2063.19,716.7814,3.999,3.431,4592.312,5552.31,8806.03,10883.94,964
147,150,2060.94,715.2,3.999,3.432,4586.344,5552.34,8776.62,10852.25,963
148,151,2058.47,716.99225,3.999,3.433,4574.312,5516.31,8743.38,10816.53,962
149,152,2056.81,713.6,3.998,3.433,4573.144,5516.34,8739.5,10810.91,961
150,153,2056.25,713.6,3.999,3.433,4565.913,5516.31,8781.31,10852.18,960
151,154,2054.41,713.6,3.998,3.434,4562.375,5516.38,8763.88,10832.97,959
152,155,2052.81,711.6,3.998,3.434,4558.743,5516.34,8734.62,10802.16,958
153,156,2051.94,711.6,3.998,3.435,4551.512,5516.31,8772.62,10839.22,957
154,157,2050.28,712,3.998,3.435,4550.406,5516.41,8748.69,10813.56,956
155,158,2049.09,708,3.998,3.435,4544.25,5480.25,8772.62,10836.41,955
156,159,2047.5,708,3.998,3.435,4544.375,5480.38,8766.19,10828.31,954
157,160,2045.5,706.4,3.997,3.437,4537.113,5480.31,8747.12,10807.31,953
158,161,2043.88,706.4,3.998,3.436,4532.313,5480.31,8719.94,10778.44,952
159,162,2043.88,696,4.007,3.691,4487.312,5453.06,8809.94,54057.87,951
160,163,2063.62,704.8,3.992,3.778,4422.048,5408.45,8837.34,10925.67,950
161,164,2063.94,709.6,3.994,3.437,4580.321,5516.32,8844.64,10923.26,949
162,165,2060.42,705.6,3.994,3.437,4586.383,5516.38,8830.3,10905.41,948
163,166,2056.9,705.6,3.995,3.437,4574.383,5516.38,8792.38,10880.99,947
164,167,2054.37,705.6,3.995,3.437,4565.916,5516.32,8818.78,10887.81,946
165,168,2051.17,704,3.995,3.438,4556.339333,5516.32,8789.41,10855.26,945
166,169,2047.81,702,3.995,3.438,4550.352,5480.35,8762.31,10824.8,944
167,170,2045.38,702.4,3.994,3.44,4537.152,5480.35,8773.66,10833.7,943
168,171,2042.37,698.3936,3.994,3.441,4529.959,5480.36,8741.28,10798.3,942
169,172,2039.71,698.4,3.995,3.441,4522.721,5480.32,8740.1,10794.5,941
170,173,2036.9,694.4,3.994,3.442,4514.32,5444.32,8750.37,10801.92,940
171,174,2035.27,694.8,3.995,3.442,4508.352,5444.35,8747.84,10797.79,939
172,175,2033.47,694.8,3.994,3.443,4501.121,5444.32,8731.49,10779.61,938
173,176,2032,692.8,3.994,3.443,4493.9722,5444.34,8720.34,10793.55,937
174,177,2030.14,692.8,3.995,3.443,4486.728,5444.33,8684.33,10764.86,936
175,178,2028,688.8,3.995,3.444,4484.375,5408.38,8706.36,10749.06,935
176,179,2026.05,691.2,3.994,3.444,4478.25,5408.25,8705.12,10745.84,934
177,180,2024.38,687.2020667,3.994,3.444,4472.312,5408.31,8708.16,10747.21,933
178,181,2022.75,689.6,3.994,3.445,4460.344,5408.34,8713.08,10750.5,932
179,182,2020.77,687.6,3.994,3.445,4454.328,5408.33,8698.22,10733.65,931
180,183,2020.39,686.99225,3.995,3.445,4450.744,5408.34,8709.16,10744.17,930
181,184,2018.94,687.6,3.994,3.445,4448.36,5408.36,8701.61,10735.16,929
182,185,2018.08,685.6,3.994,3.446,4443.559,5372.36,8710.62,10743.3,928
183,186,2017.06,676.813,4.003,3.697,4389.344,5355,8766.66,53987.78,927
184,187,2016.22,676,3.989,3.773,4370.343,5336.34,8762.41,10803.78,926
185,188,2021.81,685,3.993,3.451,4436.344,5372.34,8703.72,10740.22,925
186,189,2020.78,685.6,3.994,3.447,4454.375,5408.38,8719.75,10755.18,924
187,190,2018.25,684,3.993,3.446,4448.375,5372.38,8714.94,10747.94,923
188,191,2016.12,686.4,3.993,3.446,4442.344,5372.34,8699.53,10730.32,922
189,192,2014.19,682.3855333,3.993,3.447,4436.343,5372.34,8691.94,10720.68,921
190,193,2012.34,680.4,3.993,3.448,4429.175,5372.38,8698.09,10725.1,920
191,194,2010.22,680.8,3.993,3.448,4421.943,5372.34,8691.31,10716.22,919
192,195,2008.03,676.8,3.993,3.448,4414.775,5372.38,8680.53,10703.18,918
193,196,2006.38,676.8,3.993,3.449,4412.312,5336.31,8661.19,10682.22,917
194,197,2004.31,676.8,3.993,3.449,4406.375,5336.38,8664.91,10683.84,916
195,198,2003.25,675.2,3.992,3.449,4400.375,5336.38,8675.59,10693.47,915
196,199,2001.22,675.2,3.992,3.45,4393.144,5336.34,8663.38,10679.25,914
197,200,1999.81,675.5752,3.991,3.451,4388.312,5336.31,8671.97,10686.54,913
198,201,1998.75,673.6,3.992,3.451,4382.328,5336.34,8668.19,10681.65,912
199,202,1997.06,673.6,3.992,3.451,4378.713,5336.31,8680.31,10692,911
200,203,1996,672,3.992,3.451,4371.419,5300.22,8657.47,10668.13,910
201,204,1994.91,672,3.992,3.451,4370.313,5300.31,8638.31,10647.84,909
202,205,1993.31,672,3.991,3.451,4364.344,5300.34,8636.97,10644.88,908
203,206,1992.16,670.4,3.991,3.451,4364.375,5300.38,8640.56,10647.28,907
204,207,1990.62,670.4,3.991,3.451,4357.082,5300.28,8640.44,10645.68,906
205,208,1989.94,666.4,3.991,3.453,4349.913,5300.31,8681.19,10685.82,905
206,209,1987.56,668.8,3.991,3.453,4346.3435,5300.31,8610,10612.43,904
207,210,1985.56,657.625,3.999,3.702,4298.375,5257.06,8737.12,53926.75,903
208,211,200892.99,99536.9265,4.269,3.279,68880.004,80526.56,80526.56,215443.67,902
209,212,2010.88,666,3.983,3.434,4796.352,5804.35,9386.14,11421.73,901
210,213,2014.4,674.4,3.987,3.458,4412.479,5336.48,8762.21,10791.26,900
211,214,2012.29,672,3.987,3.456,4421.921,5372.32,8765.15,10792.1,899
212,215,2009.31,668,3.987,3.458,4414.752,5336.35,8738.72,10762.72,898
213,216,2006.66,668,3.987,3.458,4406.321,5336.32,8725.21,10746.66,897
214,217,2003.97,668,3.988,3.458,4400.351,5336.35,8736.58,10755.2,896
215,218,2000.64,666,3.988,3.458,4393.151,5336.35,8712.19,10727.36,895
216,219,1998.11,660,3.988,3.459,4382.382,5300.38,8707.16,10719.84,894
217,220,1995.24,662.4,3.987,3.46,4376.352,5300.35,8718.31,10728.19,893
218,221,1992.42,662.4,3.987,3.46,4364.351,5300.35,8691.45,10698.53,892
219,222,1989.82,658.4,3.987,3.46,4357.05,5300.25,8684.06,10688.57,891
220,223,1986.75,658.8,3.987,3.461,4349.951,5300.35,8650.37,10651.88,890
221,224,1985.02,656.8,3.987,3.461,4340.383,5264.38,8667.87,10667.54,889
222,225,1982.75,656.8,3.988,3.461,4334.344,5264.34,8624.83,10622.25,888
223,226,1981.09,656.8,3.988,3.461,4328.329,5264.33,8654.41,10650.14,887
224,227,1978.81,654,3.987,3.462,4321.128,5264.36,8622.47,10615.94,886
225,228,1976.89,655.2,3.987,3.461,4313.959,5264.36,8656.77,10648.31,885
226,229,1974.08,652,3.987,3.462,4306.713,5228.31,8620.47,10609.19,884
227,230,1972.78,652,3.987,3.462,4299.512,5228.31,8642.33,10629.74,883
228,231,1971.36,653.6,3.987,3.482,4292.344,5228.34,8640.55,10628.98,882
229,232,1969.59,651.6,3.987,3.463,4286.344,5228.34,8621.08,10605.34,881
230,233,1968.67,651.6,3.987,3.463,4280.344,5228.34,8648.67,10631.97,880
231,234,1966.28,650,3.987,3.463,4277.943,5228.34,8596.86,10577.83,879
232,235,1962.97,640.812,3.994,3.702,4214.281,5172.98,8750,53917.17,878
233,236,1962.94,640,3.981,3.781,4184.344,5120.34,8671.41,10659.56,877
234,237,1969.38,648,3.986,3.469,4263.512,5192.31,8630.66,10614.69,876
235,238,1968.06,652,3.986,3.464,4280.375,5228.38,8619.94,10602.63,875
236,239,1966.09,648,3.986,3.464,4277.9254,5228.31,8622.12,10602.93,874
237,240,1963.03,646.4,3.986,3.464,4270.775,5192.38,8609.84,10587.63,873
238,241,1961.22,644.4,3.986,3.464,4262.312,5192.31,8647.53,10623.47,872
239,242,1958.5,644.8,3.985,3.465,4256.406,5192.41,8616.53,10589.69,871
240,243,1956.41,642,3.985,3.466,4244.344,5192.34,8615.66,10586.78,870
241,244,1955.03,640.8,3.986,3.466,4238.343,5156.34,8619.97,10589.65,869
242,245,1953.62,642,3.986,3.465,4232.313,5156.31,8601.12,10569.41,868
243,246,1951.09,643.232,3.986,3.466,4227.513,5156.31,8593.88,10559.75,867
244,247,1950.19,639.2,3.985,3.466,4220.313,5156.31,8615.75,10580.62,866
245,248,1948.62,640,3.985,3.466,4220.344,5156.34,8600.94,10564.25,865
246,249,1946.91,639.6,3.985,3.466,4213.175,5156.38,8576.12,10537.72,864
247,250,1945.41,637.6,3.985,3.467,4208.375,5156.38,8613.12,10573.28,863
248,251,1943.84,638,3.985,3.467,4198.712,5120.31,8592.59,10551.07,862
249,252,1942.44,636,3.984,3.468,4196.313,5120.31,8568.91,10525.87,861
250,253,1941.44,636,3.984,3.468,4190.282,5120.28,8556.66,10512.75,860
251,254,1940.31,636.032,3.984,3.467,4184.313,5120.31,8569.16,10524.03,859
252,255,1938.59,634.4,3.984,3.467,4184.25,5120.25,8534.22,10487.47,858
253,256,1937.28,632.4,3.984,3.468,4177.206,5120.41,8578.84,10530.75,857
254,257,1935.62,632.8,3.983,3.468,4169.944,5120.34,8583.72,10536.19,856
255,258,1932,634,3.983,3.47,4166.375,5084.38,8580.88,10529.19,855
256,259,1928.62,624,3.991,3.709,4102.375,5061,8671.06,53803.81,854
257,260,1936.42,628,3.977,3.787,4061.952,5012.35,8612.35,10607.04,853
258,261,1936.8,628.8,3.979,3.472,4169.856,5084.26,8606.98,10558.33,852
259,262,1939.39,633.6,3.982,3.471,4169.918,5084.32,8613.47,10567.53,851
260,263,1937.95,633.6,3.982,3.469,4177.054,5120.25,8611.84,10564.41,850
261,264,1934.85,630,3.982,3.469,4172.32,5084.32,8576.74,10526.21,849
262,265,1934.24,630,3.982,3.471,4166.227,5084.23,8597.22,10546.24,848
263,266,1932,628,3.982,3.47,4162.72,5084.32,8594.79,10541.37,847
264,267,1930.66,628,3.981,3.47,4155.551,5084.35,8607.04,10552.39,846
265,268,1927.2,626.4,3.98,3.471,4148.351,5084.35,8560.48,10502.24,845
266,269,1926.2,626.4,3.981,3.471,4141.151,5084.35,8581.86,10522.75,844
267,270,1923.91,624.8,3.98,3.473,4136.25,5048.25,8543.45,10482.11,843
268,271,1922.37,624.8,3.98,3.471,4133.889,5048.29,8566.4,10503.43,842
269,272,1921.02,622,3.98,3.471,4124.352,5048.35,8548.57,10484.19,841
270,273,1919.56,622,3.98,3.472,4119.544,5048.34,8567.36,10501.54,840
271,274,1918.12,623.2,3.98,3.473,4118.36,5048.36,8553.19,10485.99,839
272,275,1916.39,619.2124,3.98,3.473,4112.36,5048.36,8557.92,10488.89,838
273,276,1914.77,620,3.979,3.473,4106.235,5048.23,8537.67,10467.08,837
274,277,1913.31,621.6,3.98,3.474,4105.113,5012.31,8547.91,10475.85,836
275,278,1912,617.6,3.979,3.473,4097.944,5012.34,8552.03,10478.69,835
276,279,1910.05,620,3.979,3.474,4090.744,5012.34,8519.27,10443.94,834
277,280,1908.97,620,3.979,3.475,4088.343,5012.34,8513.31,10436.97,833
278,281,1908.06,616,3.979,3.475,4085.7,5014.5,8529.51,10452.22,832
279,282,1906.72,616,3.979,3.475,4082.344,5012.34,8489.94,10411.29,831
280,283,1904,609.593,3.987,3.712,4011.203,4970.02,8630.66,53738.61,830
281,284,1907.16,611.2,3.976,3.789,3982.712,4940.31,8589.75,10522.19,829
282,285,1908.06,614.4,3.978,3.48,4076.312,5012.31,8566,10488.75,828
283,286,1908.34,614.4,3.978,3.478,4076.343,5012.34,8534.06,10457.03,827
284,287,1908.62,616,3.979,3.477,4082.375,5012.38,8532.47,10455.81,826
285,288,1907.03,616,3.979,3.476,4076.313,5012.31,8545.47,10467.13,825
286,289,1903.66,614.4,3.979,3.476,4070.344,5012.34,8523.25,10441.56,824
287,290,1900.97,612,3.978,3.478,4061.912,4976.31,8496.94,10412.69,823
288,291,1900.5,612,3.979,3.478,4054.618,4976.22,8533.19,10448.37,822
289,292,1898.62,608,3.979,3.479,4052.375,4976.38,8546.41,10459.66,821
290,293,1896.72,608.8,3.979,3.479,4046.312,4976.31,8509.81,10421.16,820
291,294,1895.94,608.8,3.978,3.479,4040.375,4976.38,8536.88,10447.43,819
292,295,1894.53,608.8,3.979,3.479,4034.375,4976.38,8510.03,10419.28,818
293,296,1893.53,610,3.979,3.479,4033.019,4940.22,8541.72,10449.94,817
294,297,1890.94,607.2,3.978,3.478,4025.975,4940.38,8508.56,10414.13,816
295,298,1889.97,608,3.978,3.48,4018.713,4940.31,8522.81,10427.37,815
296,299,1888.47,605.6,3.978,3.48,4016.343,4940.34,8492.47,10395.63,814
297,300,1886.81,606,3.978,3.48,4011.575,4940.38,8492.09,10393.56,813
298,301,1885.31,604.0213333,3.977,3.48,4010.375,4940.38,8464.12,10364.09,812
299,302,1885.44,604,3.978,3.48,4004.375,4940.38,8518.72,10418.75,811
300,303,1883.34,600,3.977,3.48,3998.344,4940.34,8517.88,10415.85,810
301,304,1881.53,602,3.977,3.481,3992.344,4904.34,8495.53,10391.62,809
302,305,1879.31,598.4,3.977,3.482,3989.975,4904.38,8457.62,10351.69,808
303,306,1877.69,598.4,3.977,3.482,3982.712,4904.31,8484.19,10376.69,807
304,307,1873.94,595.188,3.984,3.714,3906.312,4865,8602.12,53680.25,806
305,308,198748.44,192077.023,4.266,3.29,66689.981,78255.55,78255.55,213299.14,805
306,309,1912.74,604,3.973,3.474,4529.92,5552.32,9509.6,11447.16,804
307,310,1919.26,614,3.977,3.486,4106.352,5012.35,8624.83,10558.73,803
308,311,1918.98,614,3.977,3.484,4124.32,5048.32,8596.48,10530.14,802
309,312,1916.86,613.6,3.978,3.484,4124.321,5048.32,8564.38,10495.9,801
310,313,1915.1,612,3.978,3.485,4118.351,5048.35,8580.9,10510.66,800
311,314,1911.9,613.6,3.978,3.485,4112.32,5048.32,8540.1,10466.65,799
312,315,1909.73,608,3.978,3.485,4105.023,5012.22,8550.15,10474.56,798
313,316,1906.81,609.6,3.978,3.485,4097.92,5012.32,8512.1,10433.6,797
314,317,1903.68,606,3.978,3.485,4088.321,5012.32,8521.09,10439.3,796
315,318,1913.92,618,3.981,3.486,4076.352,5012.35,8533.6,10462.21,795
316,319,1899.74,609.6,3.979,3.48,4112.313,5012.31,8526.72,10441.12,794
317,320,1895.55,604,3.978,3.486,4064.32,4976.32,8489.34,10399.62,793
318,321,1892.89,604,3.978,3.486,4052.321,4976.31,8481.77,10389.3,792
319,322,1890.51,602,3.978,3.487,4040.344,4976.34,8482.88,10388,791
320,323,1887.95,602.4,3.977,3.486,4034.312,4940.31,8462.11,10364.74,790
321,324,1884,602.4,3.978,3.487,4025.944,4940.34,8482.75,10383.93,789
322,325,1885.31,598.4,3.978,3.487,4018.744,4940.34,8510.02,10409.99,788
